# skillmap.tsv — the single answer to "installed where, and why".
#
# Collapses four sources that used to disagree: skillinstall.sh case entries,
# skill-mappings.toml, per-entry .origin files, and external-sources.conf.
# Machine-first on purpose — skillctl reads it, and one grep answers a question
# that used to take four file reads.
#
# name        the registry directory under skills/ (must contain SKILL.md)
# targets     comma-separated deploy targets, or "-" for backup-only (most
#             adopted skills: registered so they are backed up, not deployed)
# owner       "self" when this repo authors it, else the path of the repo that
#             does — those are MIRRORED here and edited there
#
#name	targets	owner
-check-images	-	~/workspace/x85446/financeSheets/personaldb/.claude/skills/-check-images
-image-fetcher	-	~/workspace/x85446/financeSheets/personaldb/.claude/skills/-image-fetcher
-pdfify	-	self
-renamer	-	~/workspace/x85446/financeSheets/personaldb/.claude/skills/-renamer
accounts	userglobal	self
apiaryx-tab	-	~/workspace/izuma/fintool/.claude/skills/apiaryx-tab
archive-closed	-	~/workspace/gravhl/GROUPS/backend/gravhl-code-factory/global/skills/chopper2/archive-closed
argocd-skill	-	self
auditor	personaldb	self
auditor-sourcetable-inspector	personaldb	self
auto-recover	-	~/workspace/gravhl/GROUPS/backend/gravhl-code-factory/global/skills/chopper2/auto-recover
build-dod	-	~/workspace/x85446/kilroy/skills/build-dod
bump	-	~/workspace/gravhl/GROUPS/backend/gravhl-mobile-rn/.claude/skills/bump
categorize	cctricks	self
categorize-cost-center	-	~/workspace/x85446/financeSheets/personaldb/.claude/skills/categorize-cost-center
categorize-linker	personaldb	self
categorize-recurring	-	~/workspace/x85446/financeSheets/personaldb/.claude/skills/categorize-recurring
categorize-venue	-	~/workspace/x85446/financeSheets/personaldb/.claude/skills/categorize-venue
categorizer	personaldb	self
chopper2-doctor	-	~/workspace/gravhl/GROUPS/backend/gravhl-code-factory/global/skills/chopper2/chopper2-doctor
chopper2-serve	-	~/workspace/gravhl/GROUPS/backend/gravhl-code-factory/global/skills/chopper2/chopper2-serve
claim-bug	-	~/workspace/gravhl/GROUPS/backend/gravhl-code-factory/global/skills/leaf/claim-bug
classify-incoming	-	~/workspace/gravhl/GROUPS/backend/gravhl-code-factory/global/skills/chopper2/classify-incoming
cloud-setup-dev	-	~/workspace/gravhl/GROUPS/backend/cloud-setup/.claude/skills/cloud-setup-dev
codeconverter	recode	self
codeconverter-00-guidance	-	self
codeconverter-00-source-provenance	-	self
codeconverter-01-service-profile	-	self
codeconverter-02-codebase-analysis	-	self
codeconverter-03-dependency-discovery	-	self
codeconverter-04-test-baseline	-	self
codeconverter-05-api-surface	-	self
codeconverter-05a-endpoint-consumers	-	self
codeconverter-05b-outbound-dependencies	-	self
codeconverter-05c-datastore-peers	-	self
codeconverter-06-domain-analysis	-	self
codeconverter-07-target-codebase	-	self
codeconverter-08-gap-validation	-	self
codeconverter-09-dependency-audit	-	self
codeconverter-10-service-alignment	-	self
codeconverter-10a-pilot-slice	-	self
codeconverter-11-migration-plan	-	self
codeconverter-12-migration-qa	-	self
codeconverter-verify	-	self
competitive-intel	imarketing	self
create-dotfile	-	~/workspace/x85446/kilroy/skills/create-dotfile
create-runfile	-	~/workspace/x85446/kilroy/skills/create-runfile
darpa-equipment-references	imarketing	self
